ortholog_1	ancg_1	g_1
ortholog_821	ancg_821	g_821
ortholog_822	ancg_822	g_822
ortholog_823	ancg_823	g_823
ortholog_824	ancg_824	g_824
ortholog_825	ancg_825	g_825
ortholog_826	ancg_826	g_826
ortholog_827	ancg_827	g_827
ortholog_828	ancg_828	g_828
ortholog_829	ancg_829	g_829
ortholog_830	ancg_830	g_830
ortholog_831	ancg_831	g_831
ortholog_832	ancg_832	g_832
ortholog_833	ancg_833	g_833
ortholog_834	ancg_834	g_834
ortholog_835	ancg_835	g_835
ortholog_836	ancg_836	g_836
ortholog_837	ancg_837	g_837
ortholog_838	ancg_838	g_838
ortholog_839	ancg_839	g_839
ortholog_840	ancg_840	g_840
ortholog_841	ancg_841	g_841
ortholog_842	ancg_842	g_842
ortholog_843	ancg_843	g_843
ortholog_844	ancg_844	g_844
ortholog_845	ancg_845	g_845
ortholog_846	ancg_846	g_846
ortholog_847	ancg_847	g_847
ortholog_848	ancg_848	g_848
ortholog_849	ancg_849	g_849
ortholog_850	ancg_850	g_850
ortholog_851	ancg_851	g_851
ortholog_852	ancg_852	g_852
ortholog_853	ancg_853	g_853
ortholog_854	ancg_854	g_854
ortholog_855	ancg_855	g_855
ortholog_856	ancg_856	g_856
ortholog_857	ancg_857	g_857
ortholog_858	ancg_858	g_858
ortholog_859	ancg_859	g_859
ortholog_860	ancg_860	g_860
ortholog_861	ancg_861	g_861
ortholog_862	ancg_862	g_862
ortholog_863	ancg_863	g_863
ortholog_864	ancg_864	g_864
ortholog_865	ancg_865	g_865
ortholog_866	ancg_866	g_866
ortholog_867	ancg_867	g_867
ortholog_868	ancg_868	g_868
ortholog_869	ancg_869	g_869
ortholog_870	ancg_870	g_870
ortholog_871	ancg_871	g_871
ortholog_872	ancg_872	g_872
ortholog_873	ancg_873	g_873
ortholog_874	ancg_874	g_874
ortholog_875	ancg_875	g_875
ortholog_876	ancg_876	g_876
ortholog_877	ancg_877	g_877
ortholog_878	ancg_878	g_878
ortholog_879	ancg_879	g_879
ortholog_880	ancg_880	g_880
ortholog_881	ancg_881	g_881
ortholog_882	ancg_882	g_882
ortholog_883	ancg_883	g_883
ortholog_884	ancg_884	g_884
ortholog_885	ancg_885	g_885
ortholog_886	ancg_886	g_886
ortholog_887	ancg_887	g_887
ortholog_888	ancg_888	g_888
ortholog_889	ancg_889	g_889
ortholog_890	ancg_890	g_890
ortholog_891	ancg_891	g_891
ortholog_892	ancg_892	g_892
ortholog_893	ancg_893	g_893
ortholog_894	ancg_894	g_894
ortholog_895	ancg_895	g_895
ortholog_896	ancg_896	g_896
ortholog_897	ancg_897	g_897
ortholog_898	ancg_898	g_898
ortholog_899	ancg_899	g_899
ortholog_900	ancg_900	g_900
ortholog_901	ancg_901	g_901
ortholog_902	ancg_902	g_902
ortholog_903	ancg_903	g_903
ortholog_904	ancg_904	g_904
ortholog_905	ancg_905	g_905
ortholog_906	ancg_906	g_906
ortholog_907	ancg_907	g_907
ortholog_908	ancg_908	g_908
ortholog_909	ancg_909	g_909
ortholog_910	ancg_910	g_910
ortholog_911	ancg_911	g_911
ortholog_912	ancg_912	g_912
ortholog_913	ancg_913	g_913
ortholog_914	ancg_914	g_914
ortholog_915	ancg_915	g_915
ortholog_916	ancg_916	g_916
ortholog_917	ancg_917	g_917
ortholog_918	ancg_918	g_918
ortholog_919	ancg_919	g_919
ortholog_920	ancg_920	g_920
ortholog_921	ancg_921	g_921
ortholog_922	ancg_922	g_922
ortholog_923	ancg_923	g_923
ortholog_924	ancg_924	g_924
ortholog_925	ancg_925	g_925
ortholog_926	ancg_926	g_926
ortholog_927	ancg_927	g_927
ortholog_928	ancg_928	g_928
ortholog_929	ancg_929	g_929
ortholog_930	ancg_930	g_930
ortholog_931	ancg_931	g_931
ortholog_932	ancg_932	g_932
ortholog_933	ancg_933	g_933
ortholog_934	ancg_934	g_934
ortholog_935	ancg_935	g_935
ortholog_936	ancg_936	g_936
ortholog_937	ancg_937	g_937
ortholog_938	ancg_938	g_938
ortholog_939	ancg_939	g_939
ortholog_940	ancg_940	g_940
ortholog_941	ancg_941	g_941
ortholog_942	ancg_942	g_942
ortholog_943	ancg_943	g_943
ortholog_944	ancg_944	g_944
ortholog_945	ancg_945	g_945
ortholog_946	ancg_946	g_946
ortholog_947	ancg_947	g_947
ortholog_948	ancg_948	g_948
ortholog_949	ancg_949	g_949
ortholog_950	ancg_950	g_950
ortholog_951	ancg_951	g_951
ortholog_952	ancg_952	g_952
ortholog_953	ancg_953	g_953
ortholog_954	ancg_954	g_954
ortholog_955	ancg_955	g_955
ortholog_956	ancg_956	g_956
ortholog_957	ancg_957	g_957
ortholog_958	ancg_958	g_958
ortholog_959	ancg_959	g_959
ortholog_960	ancg_960	g_960
ortholog_961	ancg_961	g_961
ortholog_962	ancg_962	g_962
ortholog_963	ancg_963	g_963
ortholog_964	ancg_964	g_964
ortholog_965	ancg_965	g_965
ortholog_966	ancg_966	g_966
ortholog_967	ancg_967	g_967
ortholog_968	ancg_968	g_968
ortholog_969	ancg_969	g_969
ortholog_970	ancg_970	g_970
ortholog_971	ancg_971	g_971
ortholog_972	ancg_972	g_972
ortholog_973	ancg_973	g_973
ortholog_974	ancg_974	g_974
ortholog_975	ancg_975	g_975
ortholog_976	ancg_976	g_976
ortholog_977	ancg_977	g_977
ortholog_978	ancg_978	g_978
ortholog_979	ancg_979	g_979
ortholog_980	ancg_980	g_980
ortholog_981	ancg_981	g_981
ortholog_982	ancg_982	g_982
ortholog_983	ancg_983	g_983
ortholog_984	ancg_984	g_984
ortholog_985	ancg_985	g_985
ortholog_986	ancg_986	g_986
ortholog_987	ancg_987	g_987
ortholog_988	ancg_988	g_988
ortholog_989	ancg_989	g_989
ortholog_990	ancg_990	g_990
ortholog_991	ancg_991	g_991
ortholog_992	ancg_992	g_992
ortholog_993	ancg_993	g_993
ortholog_994	ancg_994	g_994
ortholog_995	ancg_995	g_995
ortholog_996	ancg_996	g_996
ortholog_997	ancg_997	g_997
ortholog_998	ancg_998	g_998
ortholog_999	ancg_999	g_999
ortholog_1000	ancg_1000	g_1000
ortholog_1001	ancg_1001	g_1001
ortholog_1002	ancg_1002	g_1002
ortholog_1003	ancg_1003	g_1003
ortholog_1004	ancg_1004	g_1004
ortholog_1005	ancg_1005	g_1005
ortholog_1006	ancg_1006	g_1006
ortholog_1007	ancg_1007	g_1007
ortholog_1008	ancg_1008	g_1008
ortholog_1009	ancg_1009	g_1009
ortholog_1010	ancg_1010	g_1010
ortholog_1011	ancg_1011	g_1011
ortholog_1012	ancg_1012	g_1012
ortholog_1013	ancg_1013	g_1013
ortholog_1014	ancg_1014	g_1014
ortholog_1015	ancg_1015	g_1015
ortholog_1016	ancg_1016	g_1016
ortholog_1017	ancg_1017	g_1017
ortholog_1018	ancg_1018	g_1018
ortholog_1019	ancg_1019	g_1019
ortholog_1020	ancg_1020	g_1020
ortholog_1021	ancg_1021	g_1021
ortholog_1022	ancg_1022	g_1022
ortholog_1023	ancg_1023	g_1023
ortholog_1024	ancg_1024	g_1024
ortholog_1025	ancg_1025	g_1025
ortholog_1026	ancg_1026	g_1026
ortholog_1027	ancg_1027	g_1027
ortholog_1028	ancg_1028	g_1028
ortholog_1029	ancg_1029	g_1029
ortholog_1030	ancg_1030	g_1030
ortholog_1031	ancg_1031	g_1031
ortholog_1032	ancg_1032	g_1032
ortholog_1033	ancg_1033	g_1033
ortholog_1034	ancg_1034	g_1034
ortholog_1035	ancg_1035	g_1035
ortholog_1036	ancg_1036	g_1036
ortholog_1037	ancg_1037	g_1037
ortholog_1038	ancg_1038	g_1038
ortholog_1039	ancg_1039	g_1039
ortholog_1040	ancg_1040	g_1040
ortholog_1041	ancg_1041	g_1041
ortholog_1042	ancg_1042	g_1042
ortholog_1043	ancg_1043	g_1043
ortholog_1044	ancg_1044	g_1044
ortholog_1045	ancg_1045	g_1045
ortholog_1046	ancg_1046	g_1046
ortholog_1047	ancg_1047	g_1047
ortholog_1048	ancg_1048	g_1048
ortholog_1049	ancg_1049	g_1049
ortholog_1050	ancg_1050	g_1050
ortholog_1051	ancg_1051	g_1051
ortholog_1052	ancg_1052	g_1052
ortholog_1053	ancg_1053	g_1053
ortholog_1054	ancg_1054	g_1054
ortholog_1055	ancg_1055	g_1055
ortholog_1056	ancg_1056	g_1056
ortholog_1057	ancg_1057	g_1057
ortholog_1058	ancg_1058	g_1058
ortholog_1059	ancg_1059	g_1059
ortholog_1060	ancg_1060	g_1060
ortholog_1061	ancg_1061	g_1061
ortholog_1062	ancg_1062	g_1062
ortholog_1063	ancg_1063	g_1063
ortholog_1064	ancg_1064	g_1064
ortholog_1065	ancg_1065	g_1065
ortholog_1066	ancg_1066	g_1066
ortholog_1067	ancg_1067	g_1067
ortholog_1068	ancg_1068	g_1068
ortholog_1069	ancg_1069	g_1069
ortholog_1070	ancg_1070	g_1070
ortholog_1071	ancg_1071	g_1071
ortholog_1072	ancg_1072	g_1072
ortholog_1073	ancg_1073	g_1073
ortholog_1074	ancg_1074	g_1074
ortholog_1075	ancg_1075	g_1075
ortholog_1076	ancg_1076	g_1076
ortholog_1077	ancg_1077	g_1077
ortholog_1078	ancg_1078	g_1078
ortholog_1079	ancg_1079	g_1079
ortholog_1080	ancg_1080	g_1080
ortholog_1081	ancg_1081	g_1081
ortholog_1082	ancg_1082	g_1082
ortholog_1083	ancg_1083	g_1083
ortholog_1084	ancg_1084	g_1084
ortholog_1085	ancg_1085	g_1085
ortholog_1086	ancg_1086	g_1086
ortholog_1087	ancg_1087	g_1087
ortholog_1088	ancg_1088	g_1088
ortholog_1089	ancg_1089	g_1089
ortholog_1090	ancg_1090	g_1090
ortholog_1091	ancg_1091	g_1091
ortholog_1092	ancg_1092	g_1092
ortholog_1093	ancg_1093	g_1093
ortholog_1094	ancg_1094	g_1094
ortholog_1095	ancg_1095	g_1095
ortholog_1096	ancg_1096	g_1096
ortholog_1097	ancg_1097	g_1097
ortholog_1098	ancg_1098	g_1098
ortholog_1099	ancg_1099	g_1099
ortholog_1100	ancg_1100	g_1100
ortholog_1101	ancg_1101	g_1101
ortholog_1102	ancg_1102	g_1102
ortholog_1103	ancg_1103	g_1103
ortholog_1104	ancg_1104	g_1104
ortholog_1105	ancg_1105	g_1105
ortholog_1106	ancg_1106	g_1106
ortholog_1107	ancg_1107	g_1107
ortholog_1108	ancg_1108	g_1108
ortholog_1109	ancg_1109	g_1109
ortholog_1110	ancg_1110	g_1110
ortholog_1111	ancg_1111	g_1111
ortholog_1112	ancg_1112	g_1112
ortholog_1113	ancg_1113	g_1113
ortholog_1114	ancg_1114	g_1114
ortholog_1115	ancg_1115	g_1115
ortholog_1116	ancg_1116	g_1116
ortholog_1117	ancg_1117	g_1117
ortholog_1118	ancg_1118	g_1118
ortholog_1119	ancg_1119	g_1119
ortholog_1120	ancg_1120	g_1120
ortholog_1121	ancg_1121	g_1121
ortholog_1122	ancg_1122	g_1122
ortholog_1123	ancg_1123	g_1123
ortholog_1124	ancg_1124	g_1124
ortholog_1125	ancg_1125	g_1125
ortholog_1126	ancg_1126	g_1126
ortholog_1127	ancg_1127	g_1127
ortholog_1128	ancg_1128	g_1128
ortholog_1129	ancg_1129	g_1129
ortholog_1130	ancg_1130	g_1130
ortholog_1131	ancg_1131	g_1131
ortholog_1132	ancg_1132	g_1132
ortholog_1133	ancg_1133	g_1133
ortholog_1134	ancg_1134	g_1134
ortholog_1135	ancg_1135	g_1135
ortholog_1136	ancg_1136	g_1136
ortholog_1137	ancg_1137	g_1137
ortholog_1138	ancg_1138	g_1138
ortholog_1139	ancg_1139	g_1139
ortholog_1140	ancg_1140	g_1140
ortholog_1141	ancg_1141	g_1141
ortholog_1142	ancg_1142	g_1142
ortholog_1143	ancg_1143	g_1143
ortholog_1144	ancg_1144	g_1144
ortholog_1145	ancg_1145	g_1145
ortholog_1146	ancg_1146	g_1146
ortholog_1147	ancg_1147	g_1147
ortholog_1148	ancg_1148	g_1148
ortholog_1149	ancg_1149	g_1149
ortholog_1150	ancg_1150	g_1150
ortholog_1151	ancg_1151	g_1151
ortholog_1152	ancg_1152	g_1152
ortholog_1153	ancg_1153	g_1153
ortholog_1154	ancg_1154	g_1154
ortholog_1155	ancg_1155	g_1155
ortholog_1156	ancg_1156	g_1156
ortholog_1157	ancg_1157	g_1157
ortholog_1158	ancg_1158	g_1158
ortholog_1159	ancg_1159	g_1159
ortholog_1160	ancg_1160	g_1160
ortholog_1161	ancg_1161	g_1161
ortholog_1162	ancg_1162	g_1162
ortholog_1163	ancg_1163	g_1163
ortholog_1164	ancg_1164	g_1164
ortholog_1165	ancg_1165	g_1165
ortholog_1166	ancg_1166	g_1166
ortholog_1167	ancg_1167	g_1167
ortholog_1168	ancg_1168	g_1168
ortholog_1169	ancg_1169	g_1169
ortholog_1170	ancg_1170	g_1170
ortholog_1171	ancg_1171	g_1171
ortholog_1172	ancg_1172	g_1172
ortholog_1173	ancg_1173	g_1173
ortholog_1174	ancg_1174	g_1174
ortholog_1175	ancg_1175	g_1175
ortholog_1176	ancg_1176	g_1176
ortholog_1177	ancg_1177	g_1177
ortholog_1178	ancg_1178	g_1178
ortholog_1179	ancg_1179	g_1179
ortholog_1180	ancg_1180	g_1180
ortholog_1181	ancg_1181	g_1181
ortholog_1182	ancg_1182	g_1182
ortholog_1183	ancg_1183	g_1183
ortholog_1184	ancg_1184	g_1184
ortholog_1185	ancg_1185	g_1185
ortholog_1186	ancg_1186	g_1186
ortholog_1187	ancg_1187	g_1187
ortholog_1188	ancg_1188	g_1188
ortholog_1189	ancg_1189	g_1189
ortholog_1190	ancg_1190	g_1190
ortholog_1191	ancg_1191	g_1191
ortholog_1192	ancg_1192	g_1192
ortholog_1193	ancg_1193	g_1193
ortholog_1194	ancg_1194	g_1194
ortholog_1195	ancg_1195	g_1195
ortholog_1196	ancg_1196	g_1196
ortholog_1197	ancg_1197	g_1197
ortholog_1198	ancg_1198	g_1198
ortholog_1199	ancg_1199	g_1199
ortholog_1200	ancg_1200	g_1200
ortholog_1201	ancg_1201	g_1201
ortholog_1202	ancg_1202	g_1202
ortholog_1203	ancg_1203	g_1203
ortholog_1204	ancg_1204	g_1204
ortholog_1205	ancg_1205	g_1205
ortholog_1206	ancg_1206	g_1206
ortholog_1207	ancg_1207	g_1207
ortholog_1208	ancg_1208	g_1208
ortholog_1209	ancg_1209	g_1209
ortholog_1210	ancg_1210	g_1210
ortholog_1211	ancg_1211	g_1211
ortholog_1212	ancg_1212	g_1212
ortholog_1213	ancg_1213	g_1213
ortholog_1214	ancg_1214	g_1214
ortholog_1215	ancg_1215	g_1215
ortholog_1216	ancg_1216	g_1216
ortholog_1217	ancg_1217	g_1217
ortholog_1218	ancg_1218	g_1218
ortholog_1219	ancg_1219	g_1219
ortholog_1220	ancg_1220	g_1220
ortholog_1221	ancg_1221	g_1221
ortholog_1222	ancg_1222	g_1222
ortholog_1223	ancg_1223	g_1223
ortholog_1224	ancg_1224	g_1224
ortholog_1225	ancg_1225	g_1225
ortholog_1226	ancg_1226	g_1226
ortholog_1227	ancg_1227	g_1227
ortholog_1228	ancg_1228	g_1228
ortholog_1229	ancg_1229	g_1229
ortholog_1230	ancg_1230	g_1230
ortholog_1231	ancg_1231	g_1231
ortholog_1232	ancg_1232	g_1232
ortholog_1233	ancg_1233	g_1233
ortholog_1234	ancg_1234	g_1234
ortholog_1235	ancg_1235	g_1235
ortholog_1236	ancg_1236	g_1236
ortholog_1237	ancg_1237	g_1237
ortholog_1238	ancg_1238	g_1238
ortholog_1239	ancg_1239	g_1239
ortholog_1240	ancg_1240	g_1240
ortholog_1241	ancg_1241	g_1241
ortholog_1242	ancg_1242	g_1242
ortholog_1243	ancg_1243	g_1243
ortholog_1244	ancg_1244	g_1244
ortholog_1245	ancg_1245	g_1245
ortholog_1246	ancg_1246	g_1246
ortholog_1247	ancg_1247	g_1247
ortholog_1248	ancg_1248	g_1248
ortholog_1249	ancg_1249	g_1249
ortholog_1250	ancg_1250	g_1250
ortholog_1251	ancg_1251	g_1251
ortholog_1252	ancg_1252	g_1252
ortholog_1253	ancg_1253	g_1253
ortholog_1254	ancg_1254	g_1254
ortholog_1255	ancg_1255	g_1255
ortholog_1256	ancg_1256	g_1256
ortholog_1257	ancg_1257	g_1257
ortholog_1258	ancg_1258	g_1258
ortholog_1259	ancg_1259	g_1259
ortholog_1260	ancg_1260	g_1260
ortholog_1261	ancg_1261	g_1261
ortholog_1262	ancg_1262	g_1262
ortholog_1263	ancg_1263	g_1263
ortholog_1264	ancg_1264	g_1264
ortholog_1265	ancg_1265	g_1265
ortholog_1266	ancg_1266	g_1266
ortholog_1267	ancg_1267	g_1267
ortholog_1268	ancg_1268	g_1268
ortholog_1269	ancg_1269	g_1269
ortholog_1270	ancg_1270	g_1270
ortholog_1271	ancg_1271	g_1271
ortholog_1272	ancg_1272	g_1272
ortholog_1273	ancg_1273	g_1273
ortholog_1274	ancg_1274	g_1274
ortholog_1275	ancg_1275	g_1275
ortholog_1276	ancg_1276	g_1276
ortholog_1277	ancg_1277	g_1277
ortholog_1278	ancg_1278	g_1278
ortholog_1279	ancg_1279	g_1279
ortholog_1280	ancg_1280	g_1280
ortholog_1281	ancg_1281	g_1281
ortholog_1282	ancg_1282	g_1282
ortholog_1283	ancg_1283	g_1283
ortholog_1284	ancg_1284	g_1284
ortholog_1285	ancg_1285	g_1285
ortholog_1286	ancg_1286	g_1286
ortholog_1287	ancg_1287	g_1287
ortholog_1288	ancg_1288	g_1288
ortholog_1289	ancg_1289	g_1289
ortholog_1290	ancg_1290	g_1290
ortholog_1291	ancg_1291	g_1291
ortholog_1292	ancg_1292	g_1292
ortholog_1293	ancg_1293	g_1293
ortholog_1294	ancg_1294	g_1294
ortholog_1295	ancg_1295	g_1295
ortholog_1296	ancg_1296	g_1296
ortholog_1297	ancg_1297	g_1297
ortholog_1298	ancg_1298	g_1298
ortholog_1299	ancg_1299	g_1299
ortholog_1300	ancg_1300	g_1300
ortholog_1301	ancg_1301	g_1301
ortholog_1302	ancg_1302	g_1302
ortholog_1303	ancg_1303	g_1303
ortholog_1304	ancg_1304	g_1304
ortholog_1305	ancg_1305	g_1305
ortholog_1306	ancg_1306	g_1306
ortholog_1307	ancg_1307	g_1307
ortholog_1308	ancg_1308	g_1308
ortholog_1309	ancg_1309	g_1309
ortholog_1310	ancg_1310	g_1310
ortholog_1311	ancg_1311	g_1311
ortholog_1312	ancg_1312	g_1312
ortholog_1313	ancg_1313	g_1313
ortholog_1314	ancg_1314	g_1314
ortholog_1315	ancg_1315	g_1315
ortholog_1316	ancg_1316	g_1316
ortholog_1317	ancg_1317	g_1317
ortholog_1318	ancg_1318	g_1318
ortholog_1319	ancg_1319	g_1319
ortholog_1320	ancg_1320	g_1320
ortholog_1321	ancg_1321	g_1321
ortholog_1322	ancg_1322	g_1322
ortholog_1323	ancg_1323	g_1323
ortholog_1324	ancg_1324	g_1324
ortholog_1325	ancg_1325	g_1325
ortholog_1326	ancg_1326	g_1326
ortholog_1327	ancg_1327	g_1327
ortholog_1328	ancg_1328	g_1328
ortholog_1329	ancg_1329	g_1329
ortholog_1330	ancg_1330	g_1330
ortholog_1331	ancg_1331	g_1331
ortholog_1332	ancg_1332	g_1332
ortholog_1333	ancg_1333	g_1333
ortholog_1334	ancg_1334	g_1334
ortholog_1335	ancg_1335	g_1335
ortholog_1336	ancg_1336	g_1336
ortholog_1337	ancg_1337	g_1337
ortholog_1338	ancg_1338	g_1338
ortholog_1339	ancg_1339	g_1339
ortholog_1340	ancg_1340	g_1340
ortholog_1341	ancg_1341	g_1341
ortholog_1342	ancg_1342	g_1342
ortholog_1343	ancg_1343	g_1343
ortholog_1344	ancg_1344	g_1344
ortholog_1345	ancg_1345	g_1345
ortholog_1346	ancg_1346	g_1346
ortholog_1347	ancg_1347	g_1347
ortholog_1348	ancg_1348	g_1348
ortholog_1349	ancg_1349	g_1349
ortholog_1350	ancg_1350	g_1350
ortholog_1351	ancg_1351	g_1351
ortholog_1352	ancg_1352	g_1352
ortholog_1353	ancg_1353	g_1353
ortholog_1354	ancg_1354	g_1354
ortholog_1355	ancg_1355	g_1355
ortholog_1356	ancg_1356	g_1356
ortholog_1357	ancg_1357	g_1357
ortholog_1358	ancg_1358	g_1358
ortholog_1359	ancg_1359	g_1359
ortholog_1360	ancg_1360	g_1360
ortholog_1361	ancg_1361	g_1361
ortholog_1362	ancg_1362	g_1362
ortholog_1363	ancg_1363	g_1363
ortholog_1364	ancg_1364	g_1364
ortholog_1365	ancg_1365	g_1365
ortholog_1366	ancg_1366	g_1366
ortholog_1367	ancg_1367	g_1367
ortholog_1368	ancg_1368	g_1368
ortholog_1369	ancg_1369	g_1369
ortholog_1370	ancg_1370	g_1370
ortholog_1371	ancg_1371	g_1371
ortholog_1372	ancg_1372	g_1372
ortholog_1373	ancg_1373	g_1373
ortholog_1374	ancg_1374	g_1374
ortholog_1375	ancg_1375	g_1375
ortholog_1376	ancg_1376	g_1376
ortholog_1377	ancg_1377	g_1377
ortholog_1378	ancg_1378	g_1378
ortholog_1379	ancg_1379	g_1379
ortholog_1380	ancg_1380	g_1380
ortholog_1381	ancg_1381	g_1381
ortholog_1382	ancg_1382	g_1382
ortholog_1383	ancg_1383	g_1383
ortholog_1384	ancg_1384	g_1384
ortholog_1385	ancg_1385	g_1385
ortholog_1386	ancg_1386	g_1386
ortholog_1387	ancg_1387	g_1387
ortholog_1388	ancg_1388	g_1388
ortholog_1389	ancg_1389	g_1389
ortholog_1390	ancg_1390	g_1390
ortholog_1391	ancg_1391	g_1391
ortholog_1392	ancg_1392	g_1392
ortholog_1393	ancg_1393	g_1393
ortholog_1394	ancg_1394	g_1394
ortholog_1395	ancg_1395	g_1395
ortholog_1396	ancg_1396	g_1396
ortholog_1397	ancg_1397	g_1397
ortholog_1398	ancg_1398	g_1398
ortholog_1399	ancg_1399	g_1399
ortholog_1400	ancg_1400	g_1400
ortholog_1401	ancg_1401	g_1401
ortholog_1402	ancg_1402	g_1402
ortholog_1403	ancg_1403	g_1403
ortholog_1404	ancg_1404	g_1404
ortholog_1405	ancg_1405	g_1405
ortholog_1406	ancg_1406	g_1406
ortholog_1407	ancg_1407	g_1407
ortholog_1408	ancg_1408	g_1408
ortholog_1409	ancg_1409	g_1409
ortholog_1410	ancg_1410	g_1410
ortholog_1411	ancg_1411	g_1411
ortholog_1412	ancg_1412	g_1412
ortholog_1413	ancg_1413	g_1413
ortholog_1414	ancg_1414	g_1414
ortholog_1415	ancg_1415	g_1415
ortholog_1416	ancg_1416	g_1416
ortholog_1417	ancg_1417	g_1417
ortholog_1418	ancg_1418	g_1418
ortholog_1419	ancg_1419	g_1419
ortholog_1420	ancg_1420	g_1420
ortholog_1421	ancg_1421	g_1421
ortholog_1422	ancg_1422	g_1422
ortholog_1423	ancg_1423	g_1423
ortholog_1424	ancg_1424	g_1424
ortholog_1425	ancg_1425	g_1425
ortholog_1426	ancg_1426	g_1426
ortholog_1427	ancg_1427	g_1427
ortholog_1428	ancg_1428	g_1428
ortholog_1429	ancg_1429	g_1429
ortholog_1430	ancg_1430	g_1430
ortholog_1431	ancg_1431	g_1431
ortholog_1432	ancg_1432	g_1432
ortholog_1433	ancg_1433	g_1433
ortholog_1434	ancg_1434	g_1434
ortholog_1435	ancg_1435	g_1435
ortholog_1436	ancg_1436	g_1436
ortholog_1437	ancg_1437	g_1437
ortholog_1438	ancg_1438	g_1438
ortholog_1439	ancg_1439	g_1439
ortholog_1440	ancg_1440	g_1440
ortholog_1441	ancg_1441	g_1441
ortholog_1442	ancg_1442	g_1442
ortholog_1443	ancg_1443	g_1443
ortholog_1444	ancg_1444	g_1444
ortholog_1445	ancg_1445	g_1445
ortholog_1446	ancg_1446	g_1446
ortholog_1447	ancg_1447	g_1447
ortholog_1448	ancg_1448	g_1448
ortholog_1449	ancg_1449	g_1449
ortholog_1450	ancg_1450	g_1450
ortholog_1451	ancg_1451	g_1451
ortholog_1452	ancg_1452	g_1452
ortholog_1453	ancg_1453	g_1453
ortholog_1454	ancg_1454	g_1454
ortholog_1455	ancg_1455	g_1455
ortholog_1456	ancg_1456	g_1456
ortholog_1457	ancg_1457	g_1457
ortholog_1458	ancg_1458	g_1458
ortholog_1459	ancg_1459	g_1459
ortholog_1460	ancg_1460	g_1460
ortholog_1461	ancg_1461	g_1461
ortholog_1462	ancg_1462	g_1462
ortholog_1463	ancg_1463	g_1463
ortholog_1464	ancg_1464	g_1464
ortholog_1465	ancg_1465	g_1465
ortholog_1466	ancg_1466	g_1466
ortholog_1467	ancg_1467	g_1467
ortholog_1468	ancg_1468	g_1468
ortholog_1469	ancg_1469	g_1469
ortholog_1470	ancg_1470	g_1470
ortholog_1471	ancg_1471	g_1471
ortholog_1472	ancg_1472	g_1472
ortholog_1473	ancg_1473	g_1473
ortholog_1474	ancg_1474	g_1474
ortholog_1475	ancg_1475	g_1475
ortholog_1476	ancg_1476	g_1476
ortholog_1477	ancg_1477	g_1477
ortholog_1478	ancg_1478	g_1478
ortholog_1479	ancg_1479	g_1479
ortholog_1480	ancg_1480	g_1480
ortholog_1481	ancg_1481	g_1481
ortholog_1482	ancg_1482	g_1482
ortholog_1483	ancg_1483	g_1483
ortholog_1484	ancg_1484	g_1484
ortholog_1485	ancg_1485	g_1485
ortholog_1486	ancg_1486	g_1486
ortholog_1487	ancg_1487	g_1487
ortholog_1488	ancg_1488	g_1488
ortholog_1489	ancg_1489	g_1489
ortholog_1490	ancg_1490	g_1490
ortholog_1491	ancg_1491	g_1491
ortholog_1492	ancg_1492	g_1492
ortholog_1493	ancg_1493	g_1493
ortholog_1494	ancg_1494	g_1494
ortholog_1495	ancg_1495	g_1495
ortholog_1496	ancg_1496	g_1496
ortholog_1497	ancg_1497	g_1497
ortholog_1498	ancg_1498	g_1498
ortholog_1499	ancg_1499	g_1499
ortholog_1500	ancg_1500	g_1500
ortholog_1501	ancg_1501	g_1501
ortholog_1502	ancg_1502	g_1502
ortholog_1503	ancg_1503	g_1503
ortholog_1504	ancg_1504	g_1504
ortholog_1505	ancg_1505	g_1505
ortholog_1506	ancg_1506	g_1506
ortholog_1507	ancg_1507	g_1507
ortholog_1508	ancg_1508	g_1508
ortholog_1509	ancg_1509	g_1509
ortholog_1510	ancg_1510	g_1510
ortholog_1511	ancg_1511	g_1511
ortholog_1512	ancg_1512	g_1512
ortholog_1513	ancg_1513	g_1513
ortholog_1514	ancg_1514	g_1514
ortholog_1515	ancg_1515	g_1515
ortholog_1516	ancg_1516	g_1516
ortholog_1517	ancg_1517	g_1517
ortholog_1518	ancg_1518	g_1518
ortholog_1519	ancg_1519	g_1519
ortholog_1520	ancg_1520	g_1520
ortholog_1521	ancg_1521	g_1521
ortholog_1522	ancg_1522	g_1522
ortholog_1523	ancg_1523	g_1523
ortholog_1524	ancg_1524	g_1524
ortholog_1525	ancg_1525	g_1525
ortholog_1526	ancg_1526	g_1526
ortholog_1527	ancg_1527	g_1527
ortholog_1528	ancg_1528	g_1528
ortholog_1529	ancg_1529	g_1529
ortholog_1530	ancg_1530	g_1530
ortholog_1531	ancg_1531	g_1531
ortholog_1532	ancg_1532	g_1532
ortholog_1533	ancg_1533	g_1533
ortholog_1534	ancg_1534	g_1534
ortholog_1535	ancg_1535	g_1535
ortholog_1536	ancg_1536	g_1536
ortholog_1537	ancg_1537	g_1537
ortholog_1538	ancg_1538	g_1538
ortholog_1539	ancg_1539	g_1539
ortholog_1540	ancg_1540	g_1540
ortholog_1541	ancg_1541	g_1541
ortholog_1542	ancg_1542	g_1542
ortholog_1543	ancg_1543	g_1543
ortholog_1544	ancg_1544	g_1544
ortholog_1545	ancg_1545	g_1545
ortholog_1546	ancg_1546	g_1546
